               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,             0.04369,            0.017364,                   0,             0.91533,                   1,                0.99,             0.46439,            0.039912,           0.0064055,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.042424,            0.017063,                   0,              0.9171,                   1,                0.99,             0.53006,             0.03324,           0.0062288,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.042619,            0.016028,                   0,             0.91473,                   1,                0.99,             0.49378,            0.040053,           0.0065327,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.048146,            0.018024,                   0,             0.91574,                   1,             0.98429,             0.47702,            0.040392,           0.0063101,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.045669,            0.016996,                   0,             0.91371,                   1,                0.99,             0.46767,             0.04527,           0.0066189,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.041339,            0.016648,                   0,             0.91794,                   1,                0.99,             0.43182,            0.042075,           0.0066352,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.044592,            0.018242,                   0,             0.92745,                   1,               0.995,             0.41892,            0.045266,            0.006815,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.041209,            0.016123,                   0,             0.91167,                   1,             0.98429,             0.39093,            0.045886,           0.0066839,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.044591,            0.017541,                   0,             0.90769,                   1,             0.98429,             0.46109,             0.04492,            0.006504,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.041265,            0.015629,                   0,             0.90036,                   1,             0.98429,              0.4274,            0.042452,           0.0067295,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.043555,            0.015952,                   0,             0.83493,             0.77884,             0.86637,             0.18873,            0.067768,           0.0075785,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.049563,            0.016267,                   0,             0.85811,                   1,               0.975,             0.42377,            0.044582,           0.0070386,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.045029,            0.018168,                   0,             0.86005,                   1,               0.975,              0.3745,            0.045501,            0.006918,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.040494,             0.01783,                   0,               0.854,                   1,               0.975,             0.45042,            0.040254,           0.0066045,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.044495,            0.018205,                   0,             0.86489,                   1,             0.98429,             0.34686,            0.052532,           0.0067564,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.047479,             0.01731,                   0,             0.90074,                   1,             0.98429,             0.52769,            0.035162,           0.0062602,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.046536,            0.016584,                   0,             0.91053,                   1,             0.98429,             0.37063,            0.050533,           0.0066976,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.044771,             0.01818,                   0,             0.92666,             0.97328,                0.99,             0.42137,            0.043387,           0.0065158,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.040749,            0.018228,                   0,             0.91592,                   1,             0.98429,             0.55777,            0.035217,           0.0060524,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.043831,            0.016712,                   0,             0.92187,                   1,               0.995,             0.41654,             0.05057,           0.0064698,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.047003,            0.017944,                   0,             0.92802,                   1,               0.995,             0.59696,            0.032398,           0.0060644,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.042969,            0.016861,                   0,             0.91389,                   1,                0.99,             0.52201,            0.035685,           0.0062237,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.040721,            0.017454,                   0,             0.98201,                   1,               0.995,             0.49465,            0.038994,           0.0063136,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.047036,            0.018122,                   0,             0.98786,                   1,               0.995,             0.50753,            0.038762,           0.0062091,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.050918,            0.017245,                   0,             0.98124,                   1,               0.995,             0.53617,            0.033243,           0.0060827,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.042628,             0.01702,                   0,             0.98223,                   1,               0.995,             0.47727,            0.041277,            0.006252,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.045131,            0.016509,                   0,             0.98545,                   1,               0.995,             0.51058,            0.037746,           0.0062258,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.045114,            0.015794,                   0,             0.98408,                   1,               0.995,             0.33452,             0.05045,           0.0065827,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.046295,            0.016993,                   0,             0.98852,                   1,               0.995,             0.50401,            0.036188,           0.0062211,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.042837,            0.015556,                   0,                   1,             0.99737,               0.995,               0.567,            0.037447,            0.006211,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.039272,            0.015643,                   0,             0.99656,                   1,               0.995,             0.48787,            0.032545,           0.0062954,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.039623,            0.015626,                   0,             0.96303,                   1,               0.995,             0.55371,             0.04009,           0.0062926,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.042511,            0.017129,                   0,             0.92445,                   1,               0.995,             0.46962,             0.03868,           0.0064285,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.040707,            0.016799,                   0,             0.92469,                   1,               0.995,              0.5621,            0.035917,           0.0062703,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.041773,            0.016531,                   0,             0.93259,                   1,               0.995,             0.42969,            0.047247,           0.0065659,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.043029,            0.017402,                   0,             0.97884,                   1,               0.995,             0.54831,            0.028424,           0.0061885,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.045373,            0.017482,                   0,             0.95891,                   1,               0.995,              0.4613,            0.038173,           0.0064503,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.039513,            0.016665,                   0,             0.92353,                   1,               0.995,             0.51078,            0.031422,           0.0063173,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.038083,            0.016468,                   0,             0.91822,                   1,               0.995,             0.56489,            0.033871,           0.0061453,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.039001,            0.015965,                   0,             0.92132,                   1,               0.995,             0.49001,            0.040899,            0.006283,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.041371,            0.016797,                   0,             0.95785,                   1,               0.995,               0.547,            0.031944,           0.0061748,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.041193,            0.016758,                   0,             0.96767,                   1,               0.995,             0.50584,            0.037352,           0.0063131,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.040128,            0.016124,                   0,             0.97073,                   1,               0.995,             0.59973,            0.028179,            0.005944,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.038459,            0.015489,                   0,             0.96313,                   1,               0.995,             0.49875,            0.035433,           0.0061362,                   0,            0.004489,            0.004489,            0.004489
