               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,            0.016578,            0.015054,                   0,             0.99542,             0.95333,             0.96487,             0.86063,            0.016461,           0.0083479,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.016291,            0.014959,                   0,             0.99272,                0.96,             0.96407,              0.8541,            0.016432,           0.0082826,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.016876,            0.015237,                   0,             0.98622,             0.95414,              0.9687,             0.87667,            0.016601,           0.0079559,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.017368,            0.014998,                   0,              0.9863,             0.95964,              0.9687,             0.84674,            0.017669,           0.0081474,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.016717,            0.014556,                   0,             0.99648,             0.94667,             0.96806,             0.86605,            0.016577,           0.0080523,                   0,            0.004852,            0.004852,            0.004852
                 158,             0.01664,            0.014467,                   0,              0.9863,             0.95987,             0.97492,             0.85614,            0.017118,           0.0084235,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.016366,            0.013927,                   0,             0.99216,                0.96,             0.97657,             0.86145,            0.016847,           0.0079772,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.016358,            0.014654,                   0,             0.99211,             0.95333,               0.969,             0.87338,            0.016638,           0.0078464,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.017106,            0.014951,                   0,             0.99497,             0.95333,             0.96914,             0.85957,            0.017001,           0.0080063,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.016319,            0.014378,                   0,             0.98622,              0.9544,             0.96766,             0.86538,            0.016797,            0.007932,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.015823,            0.014096,                   0,             0.98629,             0.95933,             0.96875,             0.87185,            0.016698,           0.0076733,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.016382,             0.01472,                   0,             0.99524,             0.95333,             0.96209,              0.8673,            0.017683,           0.0077878,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.016397,            0.013972,                   0,             0.98613,                0.96,             0.97242,             0.86235,            0.016504,           0.0079158,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.016311,            0.014744,                   0,             0.98628,             0.95872,             0.96486,             0.86643,            0.016628,           0.0078484,                   0,            0.004555,            0.004555,            0.004555
                 167,             0.01578,            0.014784,                   0,              0.9929,             0.95333,              0.9636,             0.86826,            0.016873,           0.0078994,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.016492,            0.014747,                   0,             0.99505,             0.94667,             0.96774,             0.86658,            0.017342,           0.0080964,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.016077,            0.014839,                   0,             0.99427,             0.95333,             0.97227,             0.87179,            0.016462,           0.0078589,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.016256,            0.013923,                   0,             0.98758,             0.95333,             0.96903,             0.86278,            0.017196,           0.0080473,                   0,            0.004423,            0.004423,            0.004423
                 171,               0.016,            0.014117,                   0,              0.9939,             0.94667,             0.96322,             0.87574,            0.016128,           0.0076087,                   0,             0.00439,             0.00439,             0.00439
